type,platform,title,url,snippet,collected_at
community,PTT,Re: [閒聊] 大家為了什麼討厭tim哥？ - 看板MobileComm,https://www.ptt.cc/bbs/MobileComm/M.1540525628.A.18D.html,Tim明明擁有影響力，應該和Youtuber一樣負起教育大眾的責任， 卻經常未經查證就脫口說出錯誤的資訊，讓有些人有了錯誤的觀念存在。 網路上批評Tim，他 ...,2026-07-17
community,PTT,[閒聊] 泰國BL劇的「營業」文化發展(文極長) - 看板ThaiDrama,https://www.ptt.cc/bbs/ThaiDrama/M.1682906940.A.D5F.html,... 網紅天天在跟你搶觀眾那要怎麼去跟流量為王什麼都敢玩什麼都敢碰的網紅拼流量？ 藝人也必需要去做出能搏眼球的事所以BL圈的藝人其實也感受到這件事加 ...,2026-07-17
community,PTT,[新聞] 觀光客來台復甦緩慢業者：把消失的日本- 看板Stock,https://www.ptt.cc/bbs/Stock/M.1731485810.A.A28.html,觀光客來台復甦緩慢業者：把消失的日本客找回來The Central News Agency 中央通訊社2024年11月13日週三上午10:13 （中央社記者江明晏青森13日）疫後海外 ...,2026-07-17
community,PTT,[遊記] 京都散步｜#7 不再適合所有人的京都- 看板Japan_Travel,https://www.ptt.cc/bbs/Japan_Travel/M.1758282766.A.A9B.html,其實通常把「京都推薦」出現的前幾個觀光地點去掉就好， 清水寺八阪神社金閣寺伏見稻荷套裝可能擠滿了80%的觀光客。 像是我自己很喜歡北野天滿宮。 然後 ...,2026-07-17
community,PTT,[資訊] 星宇航空SJX800 成田轉降名古屋- 看板Japan_Travel,https://www.ptt.cc/bbs/Japan_Travel/M.1683349720.A.68F.html,https://zh.flightaware.com/live/flight/SJX800 家人搭星宇這班SJX800落地兩次失敗後轉降名古屋後面SJX801成田回台灣不知道會延遲多久今天行程泡湯慘 ...,2026-07-17
community,Dcard,3 大短影音平台特色1 次掌握！ - 行銷板,https://www.dcard.tw/f/marketing/p/257654784,短影音已是社群行銷的新趨勢，但短影音平台那麼多，各平台有什麼區別？今天我們就來聊聊台灣常見3 個常見短影音平台吧！,2026-07-17
community,Dcard,1 ｜被放慢的一年繼續飛，2021 社群經營策略- 行銷 ...,https://www.dcard.tw/f/marketing/p/237198531,再者透過開放平台（社群、電商、媒體平台等）上的曝光獲取流量變得困難且成本將日益高昂，組織須擁有可直接觸及受眾的渠道（官網、粉絲專頁的Messenger、LINE ...,2026-07-17
community,Dcard,經營自媒體怎麼開始？4 大準備心法＋3 種變現方法,https://www.dcard.tw/f/social_media_editors/p/259780940,1️⃣ 主題聚焦：先決定大方向，再細分題材。例如自身非常喜歡出遊，就可以從「旅遊分享」開始發想，延伸到「背包客攻略」或「小資省錢旅遊 ...,2026-07-17
community,Dcard,2025 年YouTube 推薦系統調整1 次解析- 行銷板,https://www.dcard.tw/f/marketing/p/258187304,舉個例子：如果你最近迷上了旅遊Vlog，即使這些影片來自你從未訂閱過的頻道，YouTube 也是有可能推薦你更多類似的旅遊影片。,2026-07-17
community,Dcard,新聞知識型網紅水丰刀進軍全球最大Web3.0論壇potato media,https://www.dcard.tw/f/youtuber/p/239170263,水丰刀可以在網紅眾多時代擁有一席之地除了清楚邏輯，最大的原因還是本身在從事網路行銷產業工作的習慣養成。 因為網路行銷需要快速地做出反應，加上 ...,2026-07-17
